MOVE: 9->1(22)
2: MOVE: 9->1(19)
3: MOVE: 9->1(21)
4: MOVE: 9->1(20)
5: MOVE: 9->0(22)
6: MOVE: 9->0(19)
7: MOVE: 9->0(21)
8: MOVE: 9->0(20)
9: MOVE: 16->24(0)
10: MOVE: 16->25(0)
11: MOVE: 16->34(0)
12: MOVE: 16->17(0)
13: MOVE: 16->18(0)
14: MOVE: 16->19(0)
15: MOVE: 16->20(0)
16: MOVE: 16->21(0)
17: MOVE: 16->8(0)
18: MOVE: 32->42(0)
19: MOVE: 32->17(0)
20: MOVE: 32->26(0)
21: MOVE: 41->34(0)
22: MOVE: 41->48(0)
23: MOVE: 45->62(0)
24: MOVE: 45->30(0)
25: MOVE: 45->28(0)
26: MOVE: 45->39(0)
27: MOVE: 45->35(0)
28: MOVE: 46->39(0)
29: MOVE: 46->37(0)
30: MOVE: 46->28(0)
31: MOVE: 50->42(0)
32: MOVE: 51->43(0)
33: MOVE: 51->35(0)
34: MOVE: 54->47(0)
35: MOVE: 56->57(0)
36: MOVE: 56->58(0)
37: MOVE: 56->59(0)
38: MOVE: 56->48(0)
39: MOVE: 60->59(0)
40: MOVE: 60->58(0)
41: MOVE: 63->62(0)
42: MOVE: 63->61(0)

MOVE: 9->1(22)
2: MOVE: 9->1(19)
3: MOVE: 9->1(21)
4: MOVE: 9->1(20)
5: MOVE: 9->0(22)
6: MOVE: 9->0(19)
7: MOVE: 9->0(21)
8: MOVE: 9->0(20)
9: MOVE: 16->24(0)
10: MOVE: 16->25(0)
11: MOVE: 16->34(0)
12: MOVE: 16->17(0)
13: MOVE: 16->18(0)
14: MOVE: 16->19(0)
15: MOVE: 16->20(0)
16: MOVE: 16->21(0)
17: MOVE: 16->8(0)
18: MOVE: 32->42(0)
19: MOVE: 32->17(0)
20: MOVE: 32->26(0)
21: MOVE: 41->34(0)
22: MOVE: 41->48(0)
23: MOVE: 45->62(0)
24: MOVE: 45->30(0)
25: MOVE: 45->28(0)
26: MOVE: 45->39(0)
27: MOVE: 45->35(0)
28: MOVE: 46->39(0)
29: MOVE: 46->37(0)
30: MOVE: 46->28(0)
31: MOVE: 50->42(0)
32: MOVE: 51->43(0)
33: MOVE: 51->35(0)
34: MOVE: 54->47(0)
35: MOVE: 56->57(0)
36: MOVE: 56->58(0)
37: MOVE: 56->59(0)
38: MOVE: 56->48(0)
39: MOVE: 60->61(0) !!!
40: MOVE: 60->52(0) !!!
41: MOVE: 60->59(0)
42: MOVE: 60->58(0)
43: MOVE: 63->62(0)
44: MOVE: 63->61(0)
